"INCP_2016","Income","AGE","Age","SEX_ABS","Sex","STATE","State","REGIONTYPE","Geography Level","ASGS_2016","Region","TIME","Year","Value","Flag Codes","Flags"
"10","$1,000-$1,249 ($52,000-$64,999) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",7,,
"10","$1,000-$1,249 ($52,000-$64,999) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",4,,
"11","$1,250-$1,499 ($65,000-$77,999) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",3,,
"11","$1,250-$1,499 ($65,000-$77,999) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",0,,
"12","$1,500-$1,749 ($78,000-$90,999) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",0,,
"12","$1,500-$1,749 ($78,000-$90,999) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",0,,
"13","$1,750-$1,999 ($91,000-$103,999) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",0,,
"13","$1,750-$1,999 ($91,000-$103,999) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",0,,
"14","$2,000-$2,999 ($104,000-$155,999) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",4,,
"14","$2,000-$2,999 ($104,000-$155,999) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",0,,
"15","$3,000 or more ($156,000 or more) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",4,,
"15","$3,000 or more ($156,000 or more) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",0,,
"01","Negative income ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",15,,
"01","Negative income ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",4,,
"02","Nil income ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",366,,
"02","Nil income ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",369,,
"03","$1-$149 ($1-$7,799) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",82,,
"03","$1-$149 ($1-$7,799) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",138,,
"04","$150-$299 ($7,800-$15,599)","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",77,,
"04","$150-$299 ($7,800-$15,599)","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",142,,
"05","$300-$399 ($15,600-$20,799) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",38,,
"05","$300-$399 ($15,600-$20,799) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",33,,
"06","$400-$499 ($20,800-$25,999) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",28,,
"06","$400-$499 ($20,800-$25,999) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",33,,
"07","$500-$649 ($26,000-$33,799) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",34,,
"07","$500-$649 ($26,000-$33,799) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",23,,
"08","$650-$799 ($33,800-$41,599) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",15,,
"08","$650-$799 ($33,800-$41,599) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",8,,
"09","$800-$999 ($41,600-$51,999) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",3,,
"09","$800-$999 ($41,600-$51,999) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",8,,
"10","$1,000-$1,249 ($52,000-$64,999) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2016","2016",9,,
