"ENGLP_2016","Proficiency","AGE","Age","SEX_ABS","Sex","STATE","State","REGIONTYPE","Geography Level","ASGS_2016","Region","TIME","Year","Value","Flag Codes","Flags"
"1","Speaks English only","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2006","2006",125,
"1","Speaks English only","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2011","2011",145,,
"1","Speaks English only","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",123,,
"1","Speaks English only","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2006","2006",116,,
"1","Speaks English only","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2011","2011",150,,
"1","Speaks English only","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",124,,
"2","Speaks other language and speaks English: Very well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2006","2006",10,,
"2","Speaks other language and speaks English: Very well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2011","2011",11,,
"2","Speaks other language and speaks English: Very well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",19,,
"2","Speaks other language and speaks English: Very well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2006","2006",9,,
"2","Speaks other language and speaks English: Very well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2011","2011",11,,
"2","Speaks other language and speaks English: Very well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",15,,
"3","Speaks other language and speaks English: Well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2006","2006",9,,
"3","Speaks other language and speaks English: Well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2011","2011",14,,
"3","Speaks other language and speaks English: Well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",20,,
"3","Speaks other language and speaks English: Well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2006","2006",7,,
"3","Speaks other language and speaks English: Well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2011","2011",20,,
"3","Speaks other language and speaks English: Well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",21,,
"4","Speaks other language and speaks English: Not well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2006","2006",8,,
"4","Speaks other language and speaks English: Not well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2011","2011",19,,
"4","Speaks other language and speaks English: Not well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",17,,
"4","Speaks other language and speaks English: Not well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2006","2006",11,,
"4","Speaks other language and speaks English: Not well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2011","2011",27,,
"4","Speaks other language and speaks English: Not well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",28,,
"5","Speaks other language and speaks English: Not at all","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2006","2006",8,,
"5","Speaks other language and speaks English: Not at all","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2011","2011",33,,
"5","Speaks other language and speaks English: Not at all","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",36,,
"5","Speaks other language and speaks English: Not at all","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2006","2006",12,,
"5","Speaks other language and speaks English: Not at all","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2011","2011",27,,
"5","Speaks other language and speaks English: Not at all","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40101","Adelaide City","2016","2016",30,,
"1","Speaks English only","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2006","2006",1886,,
"1","Speaks English only","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2011","2011",2017,,
"1","Speaks English only","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2016","2016",1875,,
"1","Speaks English only","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2006","2006",1799,,
"1","Speaks English only","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2011","2011",1975,,
"1","Speaks English only","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2016","2016",1811,,
"2","Speaks other language and speaks English: Very well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2006","2006",25,,
"2","Speaks other language and speaks English: Very well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2011","2011",31,,
"2","Speaks other language and speaks English: Very well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2016","2016",38,,
"2","Speaks other language and speaks English: Very well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2006","2006",29,,
"2","Speaks other language and speaks English: Very well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2011","2011",44,,
"2","Speaks other language and speaks English: Very well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2016","2016",29,,
"3","Speaks other language and speaks English: Well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2006","2006",7,,
"3","Speaks other language and speaks English: Well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2011","2011",19,,
"3","Speaks other language and speaks English: Well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2016","2016",20,,
"3","Speaks other language and speaks English: Well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2006","2006",15,,
"3","Speaks other language and speaks English: Well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2011","2011",16,,
"3","Speaks other language and speaks English: Well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2016","2016",21,,
"4","Speaks other language and speaks English: Not well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2006","2006",11,,
"4","Speaks other language and speaks English: Not well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2011","2011",27,,
"4","Speaks other language and speaks English: Not well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2016","2016",14,,
"4","Speaks other language and speaks English: Not well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2006","2006",11,,
"4","Speaks other language and speaks English: Not well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2011","2011",18,,
"4","Speaks other language and speaks English: Not well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2016","2016",15,,
"5","Speaks other language and speaks English: Not at all","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2006","2006",27,,
"5","Speaks other language and speaks English: Not at all","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2011","2011",19,,
"5","Speaks other language and speaks English: Not at all","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2016","2016",30,,
"5","Speaks other language and speaks English: Not at all","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2006","2006",20,,
"5","Speaks other language and speaks English: Not at all","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2011","2011",26,,
"5","Speaks other language and speaks English: Not at all","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2016","2016",27,,
"1","Speaks English only","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2006","2006",845,,
"1","Speaks English only","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2011","2011",673,,
"1","Speaks English only","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",665,,
"1","Speaks English only","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2006","2006",749,,
"1","Speaks English only","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2011","2011",689,,
"1","Speaks English only","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",668,,
"2","Speaks other language and speaks English: Very well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2006","2006",28,,
"2","Speaks other language and speaks English: Very well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2011","2011",34,,
"2","Speaks other language and speaks English: Very well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",70,,
"2","Speaks other language and speaks English: Very well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2006","2006",30,,
"2","Speaks other language and speaks English: Very well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2011","2011",36,,
"2","Speaks other language and speaks English: Very well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",93,,
"3","Speaks other language and speaks English: Well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2006","2006",16,,
"3","Speaks other language and speaks English: Well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2011","2011",33,,
"3","Speaks other language and speaks English: Well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",58,,
"3","Speaks other language and speaks English: Well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2006","2006",18,,
"3","Speaks other language and speaks English: Well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2011","2011",23,,
"3","Speaks other language and speaks English: Well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",76,,
"4","Speaks other language and speaks English: Not well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2006","2006",27,,
"4","Speaks other language and speaks English: Not well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2011","2011",36,,
"4","Speaks other language and speaks English: Not well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",70,,
"4","Speaks other language and speaks English: Not well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2006","2006",14,,
"4","Speaks other language and speaks English: Not well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2011","2011",30,,
"4","Speaks other language and speaks English: Not well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",67,,
"5","Speaks other language and speaks English: Not at all","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2006","2006",25,,
"5","Speaks other language and speaks English: Not at all","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2011","2011",49,,
"5","Speaks other language and speaks English: Not at all","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",56,,
"5","Speaks other language and speaks English: Not at all","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2006","2006",26,,
"5","Speaks other language and speaks English: Not at all","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2011","2011",32,,
"5","Speaks other language and speaks English: Not at all","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",70,,
"1","Speaks English only","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2006","2006",989,,
"1","Speaks English only","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2011","2011",969,,
"1","Speaks English only","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",923,,
"1","Speaks English only","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2006","2006",855,,
"1","Speaks English only","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2011","2011",933,,
"1","Speaks English only","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",825,,
"2","Speaks other language and speaks English: Very well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2006","2006",76,,
"2","Speaks other language and speaks English: Very well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2011","2011",73,,
"2","Speaks other language and speaks English: Very well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",118,,
"2","Speaks other language and speaks English: Very well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2006","2006",61,,
"2","Speaks other language and speaks English: Very well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2011","2011",83,,
"2","Speaks other language and speaks English: Very well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",111,,
"3","Speaks other language and speaks English: Well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2006","2006",39,,
"3","Speaks other language and speaks English: Well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2011","2011",41,,
"3","Speaks other language and speaks English: Well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",90,,
"3","Speaks other language and speaks English: Well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2006","2006",40,,
"3","Speaks other language and speaks English: Well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2011","2011",56,,
"3","Speaks other language and speaks English: Well","A04","0 - 4","2","Females","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2016","2016",72,,
"4","Speaks other language and speaks English: Not well","A04","0 - 4","1","Males","4","South Australia","SA3","Statistical Area Level 3","40104","Campbelltown (SA)","2006","2006",44,,
